# DIN 168 Glass Knuckle Threads (GL series)
# External thread angle: 60 degrees
# Internal thread angle: 30 degrees  
# Used for laboratory glassware connections
#
NominalDiameter,Bolt_Major_max_mm,Bolt_Major_min_mm,Bolt_Minor_max_mm,Bolt_Minor_min_mm,Nut_Major_min_mm,Nut_Major_max_mm,Nut_Minor_min_mm,Nut_Minor_max_mm,Pitch_mm
GL 8,8.0,7.65,6.6,6.25,8.1,8.3,6.7,6.9,2.0
GL 10,10.0,9.65,8.6,8.25,10.1,10.3,8.7,8.9,2.0
GL 12,12.0,11.65,10.6,10.25,12.1,12.3,10.7,10.9,2.0
GL 14,14.0,13.6,12.32,11.92,14.1,14.35,12.42,12.67,2.5
GL 16,16.0,15.6,14.32,13.92,16.1,16.35,14.42,14.67,2.5
GL 18,18.0,17.5,15.98,15.48,18.1,18.4,16.08,16.38,3.0
GL 20,20.0,19.5,17.98,17.48,20.1,20.4,18.08,18.38,3.0
GL 22,22.0,21.5,19.98,19.48,22.1,22.4,20.08,20.38,3.0
GL 25,25.0,24.5,22.98,22.48,25.1,25.4,23.08,23.38,3.0
GL 28,28.0,27.5,25.98,25.48,28.1,28.4,26.08,26.38,3.0
GL 32,32.0,31.3,29.3,28.6,32.15,32.55,29.45,29.85,4.0
GL 36,36.0,35.3,33.3,32.6,36.15,36.55,33.45,33.85,4.0
GL 40,40.0,39.3,37.3,36.6,40.15,40.55,37.45,37.85,4.0
GL 45,45.0,44.3,42.3,41.6,45.15,45.55,42.45,42.85,4.0
GL 50,50.0,49.2,47.3,46.5,50.3,50.8,47.6,48.1,4.0
GL 56,56.0,55.2,53.3,52.6,56.5,56.8,53.6,54.1,4.0
GL 63,63.0,62.0,60.0,59.0,63.4,64.0,60.4,61.0,5.0
GL 70,70.0,69.0,67.0,66.0,70.4,71.0,67.4,68.0,5.0
GL 80,80.0,79.0,77.0,76.0,80.4,81.0,77.4,78.0,5.0
GL 90,90.0,89.0,87.0,86.0,90.4,91.0,87.4,88.0,5.0
GL 100,100.0,89.8,97.0,95.8,100.4,101.0,97.4,98.0,5.0
GL 112,112.0,110.8,109.0,108.8,112.4,113.0,109.4,110.0,5.0
GL 125,125.0,123.8,122.0,120.8,125.4,126.0,122.4,123.0,5.0
